personLabel,birthdate,birthplaceLabel,birthcoord,deathdate,deathplaceLabel,deathcoord,occupationLabel,genderLabel,bloc,dloc
Panakkad Muhammad Ali Shihab Thangal,1936-05-04T00:00:00Z,Malappuram,Point(76.079444444 11.041666666),2009-08-01T00:00:00Z,Malappuram,Point(76.079444444 11.041666666),,male,"11.041666666,76.079444444","11.041666666,76.079444444"
Nawang Gombu,1936-05-01T00:00:00Z,Kharta,Point(87.1667 28.1),2011-04-24T00:00:00Z,Darjeeling,Point(88.263055555 27.0375),,male,"28.1,87.1667","27.0375,88.263055555"
Arimbra Bapu,1936-05-01T00:00:00Z,"Arimbra Hills, Malappuram",Point(75.964 11.147),2014-07-04T00:00:00Z,"Arimbra Hills, Malappuram",Point(75.964 11.147),,male,"11.147,75.964","11.147,75.964"
Vijay Kumar Khandelwal,1936-04-22T00:00:00Z,Betul,Point(77.9 21.92),2007-11-12T00:00:00Z,Nagpur,Point(79.080555555 21.149722222),,male,"21.92,77.9","21.149722222,79.080555555"
R. Subbalakshmi,1936-04-21T00:00:00Z,Chennai,Point(80.275 13.0825),2023-11-30T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,female,"13.0825,80.275","8.4875,76.9525"
Ivan Dias,1936-04-14T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2017-06-19T00:00:00Z,Rome,Point(12.482777777 41.893055555),,male,"19.075833333,72.8775","41.893055555,12.482777777"
Sukhdev Singh Dhindsa,1936-04-09T00:00:00Z,Sangrur,Point(75.833333333 30.233333333),2025-05-28T00:00:00Z,Mohali,Point(76.718055555 30.719444444),,male,"30.233333333,75.833333333","30.719444444,76.718055555"
Abdul Qadeer Khan,1936-04-01T00:00:00Z,Bhopal,Point(77.416666666 23.25),2021-10-10T00:00:00Z,Islamabad,Point(73.036944444 33.698888888),,male,"23.25,77.416666666","33.698888888,73.036944444"
Abdul Qadeer Khan,1936-04-01T00:00:00Z,Bhopal,Point(77.40289 23.25469),2021-10-10T00:00:00Z,Islamabad,Point(73.036944444 33.698888888),,male,"23.25469,77.40289","33.698888888,73.036944444"
Tarun Gogoi,1936-04-01T00:00:00Z,Rangajan,Point(93.929 26.486),2020-11-23T00:00:00Z,Guwahati,Point(91.750238 26.1805876),,male,"26.486,93.929","26.1805876,91.750238"
Banwari Lal Joshi,1936-03-27T00:00:00Z,Nagaur district,Point(73.733333333 27.2),2017-12-22T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"27.2,73.733333333","28.613888888,77.208888888"
Banwari Lal Joshi,1936-03-27T00:00:00Z,Nagaur district,Point(74.25 27.0),2017-12-22T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"27.0,74.25","28.613888888,77.208888888"
Neelamperoor Madhusoodanan Nair,1936-03-25T00:00:00Z,Kuttanad,Point(76.463888888 9.425),2021-01-02T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"9.425,76.463888888","8.4875,76.9525"
Mahdi Hasan,1936-03-21T00:00:00Z,Akbarpur,Point(82.62 26.52),2013-01-12T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"26.52,82.62","26.847,80.947"
Satyadev Dubey,1936-03-19T00:00:00Z,Bilaspur,Point(82.016666666 22.15),2011-12-25T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"22.15,82.016666666","19.075833333,72.8775"
Bhaskar Chandavarkar,1936-03-16T00:00:00Z,Pune,Point(73.855287 18.519574),2009-07-26T00:00:00Z,Pune,Point(73.855287 18.519574),,male,"18.519574,73.855287","18.519574,73.855287"
Baliram Kashyap,1936-03-11T00:00:00Z,Bastar district,Point(82.0331 19.0667),2011-03-10T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"19.0667,82.0331","28.613888888,77.208888888"
Vijayasarathi Sribhashyam,1936-03-10T00:00:00Z,Karimnagar district,Point(79.133711111 18.435538888),2022-12-28T00:00:00Z,Karimnagar,Point(79.13371 18.43554),,male,"18.435538888,79.133711111","18.43554,79.13371"
Panditrao Agashe,1936-03-08T00:00:00Z,Pune,Point(73.855287 18.519574),1983-11-16T00:00:00Z,Pune,Point(73.855287 18.519574),,male,"18.519574,73.855287","18.519574,73.855287"
M. K. Arjunan,1936-03-01T00:00:00Z,Fort Kochi,Point(76.2421 9.9658),2020-04-06T00:00:00Z,Palluruthy,Point(76.27388889 9.92138889),,male,"9.9658,76.2421","9.92138889,76.27388889"
Jarnail Singh,1936-02-20T00:00:00Z,Hoshiarpur,Point(75.917222222 31.532222222),2000-10-13T00:00:00Z,Vancouver,Point(-123.113888888 49.260833333),,male,"31.532222222,75.917222222","49.260833333,-123.113888888"
Fatima Zakaria,1936-02-17T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2021-04-06T00:00:00Z,Aurangabad,Point(75.32 19.88),,female,"19.075833333,72.8775","19.88,75.32"
Jaman Lal Sharma,1936-02-06T00:00:00Z,Bannu,Point(70.605555555 32.988888888),2007-08-26T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"32.988888888,70.605555555","26.847,80.947"
K. S. Nissar Ahmed,1936-02-05T00:00:00Z,Devanahalli,Point(77.7 13.23),2020-05-03T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"13.23,77.7","12.9791198,77.5912997"
Andy Mulligan,1936-02-04T00:00:00Z,Kasauli,Point(76.96 30.9),2001-02-24T00:00:00Z,Medford,Point(-122.86167 42.33194),,male,"30.9,76.96","42.33194,-122.86167"
Veturi Sundararama Murthy,1936-01-29T00:00:00Z,Krishna district,Point(81.149444444 16.194444444),2010-05-22T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"16.194444444,81.149444444","17.361666666,78.474722222"
Brajanath Ratha,1936-01-12T00:00:00Z,Balasore,Point(86.933611111 21.492777777),2014-05-31T00:00:00Z,Balasore,Point(86.933611111 21.492777777),,male,"21.492777777,86.933611111","21.492777777,86.933611111"
Brajanath Ratha,1936-01-12T00:00:00Z,Balasore,Point(86.925 21.503333333),2014-05-31T00:00:00Z,Balasore,Point(86.933611111 21.492777777),,male,"21.503333333,86.925","21.492777777,86.933611111"
Brajanath Ratha,1936-01-12T00:00:00Z,Balasore,Point(86.933611111 21.492777777),2014-05-31T00:00:00Z,Balasore,Point(86.925 21.503333333),,male,"21.492777777,86.933611111","21.503333333,86.925"
Brajanath Ratha,1936-01-12T00:00:00Z,Balasore,Point(86.925 21.503333333),2014-05-31T00:00:00Z,Balasore,Point(86.925 21.503333333),,male,"21.503333333,86.925","21.503333333,86.925"
Mufti Mohammad Sayeed,1936-01-12T00:00:00Z,Bijbehara,Point(75.107 33.79378),2016-01-07T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"33.79378,75.107","28.613888888,77.208888888"
Mufti Mohammad Sayeed,1936-01-12T00:00:00Z,Bijbehara,Point(75.1 33.8),2016-01-07T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"33.8,75.1","28.613888888,77.208888888"
Sharad Diwadkar,1936-01-11T00:00:00Z,Mumbai,Point(72.8775 19.075833333),2005-03-01T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"19.075833333,72.8775","19.075833333,72.8775"
Jyotindra Nath Dixit,1936-01-08T00:00:00Z,Chennai,Point(80.275 13.0825),2005-01-03T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"13.0825,80.275","28.613888888,77.208888888"
K. S. R. Das,1936-01-05T00:00:00Z,Nellore,Point(79.966666666 14.433333333),2012-06-08T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"14.433333333,79.966666666","13.0825,80.275"
Gyatsho Tshering,1936-01-01T00:00:00Z,Sikkim,Point(88.5 27.55),2009-06-25T00:00:00Z,Minneapolis,Point(-93.269166666 44.981944444),,male,"27.55,88.5","44.981944444,-93.269166666"
John C. Jacob,1936-01-01T00:00:00Z,Kottayam,Point(76.522222222 9.591666666),2008-10-11T00:00:00Z,Payyanur,Point(75.2 12.1),,male,"9.591666666,76.522222222","12.1,75.2"
Kuthiravattam Pappu,1936-01-01T00:00:00Z,Kozhikode,Point(75.780277777 11.247777777),2000-02-25T00:00:00Z,Kozhikode,Point(75.780277777 11.247777777),,male,"11.247777777,75.780277777","11.247777777,75.780277777"
Kulbir Singh Kaang,1936-01-01T00:00:00Z,Amritsar,Point(74.87704 31.626917),2008-01-01T00:00:00Z,Amritsar,Point(74.87704 31.626917),,male,"31.626917,74.87704","31.626917,74.87704"
Narayanan Vaghul,1936-01-01T00:00:00Z,Chennai,Point(80.275 13.0825),2024-05-18T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"13.0825,80.275","13.0825,80.275"
N. S. Lakshminarayan Bhat,1936-01-01T00:00:00Z,Shimoga,Point(75.5667 13.9167),2021-03-06T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"13.9167,75.5667","12.9791198,77.5912997"
Omakuchi Narasimhan,1936-01-01T00:00:00Z,Chennai,Point(80.275 13.0825),2009-03-12T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"13.0825,80.275","13.0825,80.275"
Mubarak Begum,1936-01-01T00:00:00Z,Jhunjhunu,Point(75.397777777 28.125555555),2016-07-18T00:00:00Z,Jogeshwari,Point(72.85 19.12),,female,"28.125555555,75.397777777","19.12,72.85"
R K Joshi,1936-01-01T00:00:00Z,Kolhapur,Point(74.233333333 16.7),2008-02-05T00:00:00Z,San Francisco,Point(-122.419444444 37.775),,male,"16.7,74.233333333","37.775,-122.419444444"
Goparaju Vijayam,1936-01-01T00:00:00Z,Machilipatnam,Point(81.133333333 16.166666666),2020-05-22T00:00:00Z,Vijayawada,Point(80.616666666 16.516666666),,male,"16.166666666,81.133333333","16.516666666,80.616666666"
Kalpanakumari Devi,1936-01-01T00:00:00Z,Cuttack,Point(85.866666666 20.45),2017-08-28T00:00:00Z,Kolkata,Point(88.37 22.5675),,female,"20.45,85.866666666","22.5675,88.37"
Kalpanakumari Devi,1936-01-01T00:00:00Z,Cuttack,Point(85.87927 20.46497),2017-08-28T00:00:00Z,Kolkata,Point(88.37 22.5675),,female,"20.46497,85.87927","22.5675,88.37"
Na. Muthuswamy,1936-01-01T00:00:00Z,Thanjavur,Point(79.137806 10.787),2018-10-24T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"10.787,79.137806","13.0825,80.275"
Dhiraj Choudhury,1936-01-01T00:00:00Z,Brahmanbaria District,Point(91.1167 23.9528),2018-06-01T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"23.9528,91.1167","22.5675,88.37"
Darchhawna,1936-01-01T00:00:00Z,Mizoram,Point(92.8 23.36),2023-12-27T00:00:00Z,Aizawl,Point(92.716666666 23.733333333),,male,"23.36,92.8","23.733333333,92.716666666"
Asha Patil,1936-01-01T00:00:00Z,Kolhapur,Point(74.233333333 16.7),2016-01-18T00:00:00Z,Kolhapur,Point(74.233333333 16.7),,female,"16.7,74.233333333","16.7,74.233333333"
Natesan Rangabashyam,1936-01-01T00:00:00Z,Chennai,Point(80.275 13.0825),2013-07-15T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"13.0825,80.275","13.0825,80.275"
Abdul Mughni,1936-01-01T00:00:00Z,Aurangabad district,Point(84.3667 24.75),2006-09-05T00:00:00Z,Patna,Point(85.141388888 25.61),,male,"24.75,84.3667","25.61,85.141388888"
Abdul Mughni,1936-01-01T00:00:00Z,Aurangabad district,Point(84.5 24.75),2006-09-05T00:00:00Z,Patna,Point(85.141388888 25.61),,male,"24.75,84.5","25.61,85.141388888"
Sajood Sailani,1936-01-01T00:00:00Z,Jammu and Kashmir,Point(74.85 32.733333333),2020-11-17T00:00:00Z,Jammu and Kashmir,Point(74.806111111 34.091111111),,male,"32.733333333,74.85","34.091111111,74.806111111"
Sajood Sailani,1936-01-01T00:00:00Z,Jammu and Kashmir,Point(74.79 34.09),2020-11-17T00:00:00Z,Jammu and Kashmir,Point(74.806111111 34.091111111),,male,"34.09,74.79","34.091111111,74.806111111"
Damodar Bapat,1936-01-01T00:00:00Z,Amravati district,Point(77.75 20.93),2019-08-17T00:00:00Z,Chhattisgarh,Point(81.6 21.27),,male,"20.93,77.75","21.27,81.6"
Tapobijoy Ghosh,1936-01-01T00:00:00Z,Mymensingh,Point(90.416666666 24.75),1990-08-27T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"24.75,90.416666666","22.5675,88.37"
Gauri Barman,1936-01-01T00:00:00Z,Nalbari district,Point(91.44 26.45),2020-10-29T00:00:00Z,Guwahati,Point(91.750238 26.1805876),,male,"26.45,91.44","26.1805876,91.750238"
Raphael Cheenath,1935-12-29T00:00:00Z,Manalur,Point(76.1 10.495833333),2016-08-14T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"10.495833333,76.1","19.075833333,72.8775"
Damodar Hota,1935-12-25T00:00:00Z,Puri,Point(85.816666666 19.8),2022-02-05T00:00:00Z,Bhubaneswar,Point(85.828055555 20.264444444),,male,"19.8,85.816666666","20.264444444,85.828055555"
Peter Thangaraj,1935-12-24T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),2008-11-24T00:00:00Z,Bokaro Steel City,Point(86.15 23.67),,male,"17.361666666,78.474722222","23.67,86.15"
Raj Singh Dungarpur,1935-12-19T00:00:00Z,Dungarpur,Point(73.714444444 23.843055555),2009-09-12T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"23.843055555,73.714444444","19.075833333,72.8775"
Pranab Mukherjee,1935-12-11T00:00:00Z,Mirati,Point(87.87623 23.78821),2020-08-31T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"23.78821,87.87623","28.613888888,77.208888888"
Pranab Mukherjee,1935-12-11T00:00:00Z,Mirati,Point(87.878567 23.791467),2020-08-31T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"23.791467,87.878567","28.613888888,77.208888888"
V. Rama Rao,1935-12-11T00:00:00Z,Machilipatnam,Point(81.133333333 16.166666666),2016-01-17T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"16.166666666,81.133333333","17.361666666,78.474722222"
Savitri,1935-12-06T00:00:00Z,Guntur district,Point(80.45 16.3),1981-12-26T00:00:00Z,Chennai,Point(80.275 13.0825),,female,"16.3,80.45","13.0825,80.275"
Bipin Chandra Joshi,1935-12-05T00:00:00Z,Pithoragarh,Point(80.215167 29.585871),1994-11-19T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"29.585871,80.215167","28.613888888,77.208888888"
Asim Basu,1935-11-30T00:00:00Z,Balasore district,Point(86.9 21.5),2017-02-01T00:00:00Z,Bhubaneswar,Point(85.828055555 20.264444444),,male,"21.5,86.9","20.264444444,85.828055555"
Gurbachan Singh Salaria,1935-11-29T00:00:00Z,Gurdaspur,Point(75.4 32.0333),1961-12-05T00:00:00Z,Democratic Republic of the Congo,Point(23.656111111 -2.88),,male,"32.0333,75.4","-2.88,23.656111111"
Govind Sawant,1935-11-28T00:00:00Z,Vadodara,Point(73.2 22.3),2001-09-08T00:00:00Z,Vadodara,Point(73.2 22.3),,male,"22.3,73.2","22.3,73.2"
A. Jagannathan,1935-11-26T00:00:00Z,Tiruppur,Point(77.3398 11.1075),2012-10-07T00:00:00Z,coimbatore,Point(76.963333333 11.000833333),,male,"11.1075,77.3398","11.000833333,76.963333333"
Ramesh Chandra Panda,1935-11-24T00:00:00Z,Odisha,Point(85.5 20.15),2003-12-18T00:00:00Z,Mayurjhalia,Point(85.4143868 20.0116665),,male,"20.15,85.5","20.0116665,85.4143868"
Ramesh Chandra Panda,1935-11-24T00:00:00Z,Nayagarh,Point(85.1 20.13),2003-12-18T00:00:00Z,Mayurjhalia,Point(85.4143868 20.0116665),,male,"20.13,85.1","20.0116665,85.4143868"
Ramesh Chandra Panda,1935-11-24T00:00:00Z,Raj-Ranpur,Point(85.344887 20.062819),2003-12-18T00:00:00Z,Mayurjhalia,Point(85.4143868 20.0116665),,male,"20.062819,85.344887","20.0116665,85.4143868"
Ramesh Chandra Panda,1935-11-24T00:00:00Z,Mayurjhalia,Point(85.4143868 20.0116665),2003-12-18T00:00:00Z,Mayurjhalia,Point(85.4143868 20.0116665),,male,"20.0116665,85.4143868","20.0116665,85.4143868"
Imrat Khan,1935-11-17T00:00:00Z,Kolkata,Point(88.37 22.5675),2018-11-22T00:00:00Z,St. Louis,Point(-90.199444444 38.626388888),,male,"22.5675,88.37","38.626388888,-90.199444444"
Lonappan Nambadan,1935-11-13T00:00:00Z,Thrissur,Point(76.21 10.52),2013-06-05T00:00:00Z,Kochi,Point(76.283333333 9.966666666),,male,"10.52,76.21","9.966666666,76.283333333"
Amar Nath Bhaduri,1935-11-12T00:00:00Z,Shyambazar,Point(88.3687 22.5982),2003-06-05T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"22.5982,88.3687","22.5675,88.37"
Amar Nath Bhaduri,1935-11-12T00:00:00Z,Shyambazar,Point(88.374 22.601),2003-06-05T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"22.601,88.374","22.5675,88.37"
Aniruddh Brahmabhatt,1935-11-11T00:00:00Z,Patan,Point(72.116666666 23.85),1981-07-31T00:00:00Z,Ahmedabad,Point(72.579722222 23.021944444),,male,"23.85,72.116666666","23.021944444,72.579722222"
C. K. Chandrappan,1935-11-10T00:00:00Z,Cherthala,Point(76.342589113 9.686210395),2012-03-23T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"9.686210395,76.342589113","8.4875,76.9525"
T. P. Madhavan,1935-11-07T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),2024-10-09T00:00:00Z,Kollam district,Point(76.6 8.8),,male,"8.4875,76.9525","8.8,76.6"
T. P. Madhavan,1935-11-07T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),2024-10-09T00:00:00Z,Kollam district,Point(76.85274 8.95687),,male,"8.4875,76.9525","8.95687,76.85274"
Syed Shahabuddin,1935-11-04T00:00:00Z,Ranchi,Point(85.334722222 23.355555555),2017-03-04T00:00:00Z,Delhi,Point(77.216666666 28.666666666),,male,"23.355555555,85.334722222","28.666666666,77.216666666"
Jikki,1935-11-03T00:00:00Z,Chennai,Point(80.275 13.0825),2004-08-16T00:00:00Z,Chennai,Point(80.275 13.0825),,female,"13.0825,80.275","13.0825,80.275"
Kamala Hampana,1935-10-28T00:00:00Z,Devanahalli,Point(77.7 13.23),2024-06-22T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"13.23,77.7","12.9791198,77.5912997"
Mehar Mittal,1935-10-24T00:00:00Z,Bathinda District,Point(74.94 30.21),2016-10-22T00:00:00Z,Mount Abu,Point(72.708333333 24.5925),,male,"30.21,74.94","24.5925,72.708333333"
Vrindavanam Venugopalan,1935-10-24T00:00:00Z,Kollam,Point(76.586388888 8.885277777),2009-12-25T00:00:00Z,Kollam,Point(76.586388888 8.885277777),,male,"8.885277777,76.586388888","8.885277777,76.586388888"
C. Chittibabu,1935-10-19T00:00:00Z,Tindivanam,Point(79.65 12.25),1977-01-04T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"12.25,79.65","13.0825,80.275"
Shankar Ghosh,1935-10-10T00:00:00Z,Kolkata,Point(88.37 22.5675),2016-01-22T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"22.5675,88.37","22.5675,88.37"
M. Prabhakar Reddy,1935-10-08T00:00:00Z,Thungathurthi,Point(79.6258 17.4567),1997-11-25T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"17.4567,79.6258","17.361666666,78.474722222"
Mahendra Singh Tikait,1935-10-06T00:00:00Z,Muzaffarnagar,Point(77.703333333 29.470833333),2011-05-15T00:00:00Z,Sisauli,Point(77.47 29.42),,male,"29.470833333,77.703333333","29.42,77.47"
Pulamaipithan,1935-10-06T00:00:00Z,coimbatore,Point(76.963333333 11.000833333),2021-09-08T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"11.000833333,76.963333333","13.0825,80.275"
Shamsur Rahman Faruqi,1935-09-30T00:00:00Z,Azamgarh,Point(83.19 26.06),2020-12-25T00:00:00Z,Prayagraj,Point(81.85 25.45),,male,"26.06,83.19","25.45,81.85"
T. Damodaran,1935-09-15T00:00:00Z,Kozhikode,Point(75.780277777 11.247777777),2012-03-28T00:00:00Z,Kozhikode,Point(75.780277777 11.247777777),,male,"11.247777777,75.780277777","11.247777777,75.780277777"
Mumtaz Ahmed Khan,1935-09-06T00:00:00Z,Pune,Point(73.855287 18.519574),2021-05-28T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,male,"18.519574,73.855287","12.9791198,77.5912997"
Malhotra Chamanlal,1935-09-05T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),2020-02-14T00:00:00Z,Ludhiana,Point(75.848611111 30.908333333),,male,"30.908333333,75.848611111","30.908333333,75.848611111"
Saroj Ghose,1935-09-01T00:00:00Z,Kolkata,Point(88.37 22.5675),2025-05-17T00:00:00Z,Seattle,Point(-122.33 47.605),,male,"22.5675,88.37","47.605,-122.33"
Q131275962,1935-09-01T00:00:00Z,Uttar Pradesh,Point(80.91 26.85),2023-10-18T00:00:00Z,India,Point(83.0 22.8),,male,"26.85,80.91","22.8,83.0"
Q131275962,1935-09-01T00:00:00Z,British Raj,Point(88.337777777 22.541111111),2023-10-18T00:00:00Z,India,Point(83.0 22.8),,male,"22.541111111,88.337777777","22.8,83.0"
Q131275962,1935-09-01T00:00:00Z,Rudauli,Point(81.75 26.75),2023-10-18T00:00:00Z,India,Point(83.0 22.8),,male,"26.75,81.75","22.8,83.0"
Q131275962,1935-09-01T00:00:00Z,Uttar Pradesh,Point(80.91 26.85),2023-10-18T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"26.85,80.91","26.847,80.947"
Q131275962,1935-09-01T00:00:00Z,British Raj,Point(88.337777777 22.541111111),2023-10-18T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"22.541111111,88.337777777","26.847,80.947"
Q131275962,1935-09-01T00:00:00Z,Rudauli,Point(81.75 26.75),2023-10-18T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"26.75,81.75","26.847,80.947"
Gopi Krishna,1935-08-22T00:00:00Z,Kolkata,Point(88.37 22.5675),1994-02-18T00:00:00Z,Mumbai,Point(72.8775 19.075833333),,male,"22.5675,88.37","19.075833333,72.8775"
Rewa Prasad Dwivedi,1935-08-22T00:00:00Z,Guna district,Point(77.20082 24.55464),2021-05-21T00:00:00Z,Varanasi,Point(83.012777777 25.318888888),,male,"24.55464,77.20082","25.318888888,83.012777777"
Rewa Prasad Dwivedi,1935-08-22T00:00:00Z,Guna district,Point(77.32 24.64),2021-05-21T00:00:00Z,Varanasi,Point(83.012777777 25.318888888),,male,"24.64,77.32","25.318888888,83.012777777"
M. P. Shankar,1935-08-20T00:00:00Z,Mysore,Point(76.653055555 12.308611111),2008-07-17T00:00:00Z,Mysore,Point(76.653055555 12.308611111),,male,"12.308611111,76.653055555","12.308611111,76.653055555"
R. N. Jayagopal,1935-08-17T00:00:00Z,Mysore,Point(76.653055555 12.308611111),2008-05-19T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"12.308611111,76.653055555","13.0825,80.275"
Cyril Mar Baselios,1935-08-16T00:00:00Z,Pandalam,Point(76.73 9.32),2007-01-18T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"9.32,76.73","8.4875,76.9525"
Rajasulochana,1935-08-15T00:00:00Z,Vijayawada,Point(80.616666666 16.516666666),2013-03-05T00:00:00Z,Chennai,Point(80.275 13.0825),,female,"16.516666666,80.616666666","13.0825,80.275"
Radha Charan Gupta,1935-08-14T00:00:00Z,Jhansi,Point(78.56962 25.44862),2024-09-05T00:00:00Z,Jhansi,Point(78.56962 25.44862),,male,"25.44862,78.56962","25.44862,78.56962"
Chittabrata Majumdar,1935-08-14T00:00:00Z,Dhaka,Point(90.394444444 23.728888888),2007-02-20T00:00:00Z,Kolkata,Point(88.37 22.5675),,male,"23.728888888,90.394444444","22.5675,88.37"
Vilayati Ram Katyal,1935-07-29T00:00:00Z,Gujranwala,Point(74.183333333 32.15),1988-04-08T00:00:00Z,Kanpur,Point(80.331111111 26.4725),,male,"32.15,74.183333333","26.4725,80.331111111"
Lal Mani Joshi,1935-07-27T00:00:00Z,Kumaon division,Point(79.7 29.6),1984-07-16T00:00:00Z,New Delhi,Point(77.208888888 28.613888888),,male,"29.6,79.7","28.613888888,77.208888888"
Mynavathi,1935-07-26T00:00:00Z,Bhatkal,Point(74.555277777 13.985277777),2012-11-10T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"13.985277777,74.555277777","12.9791198,77.5912997"
Mynavathi,1935-07-26T00:00:00Z,Bhatkal,Point(74.567 13.967),2012-11-10T00:00:00Z,Bengaluru,Point(77.5912997 12.9791198),,female,"13.967,74.567","12.9791198,77.5912997"
Kaikala Satyanarayana,1935-07-25T00:00:00Z,Andhra Pradesh,Point(80.866666666 16.85),2022-12-23T00:00:00Z,Hyderabad,Point(78.474722222 17.361666666),,male,"16.85,80.866666666","17.361666666,78.474722222"
Ram Gupta,1935-07-17T00:00:00Z,Delhi,Point(77.216666666 28.666666666),2008-04-27T00:00:00Z,London,Point(-0.1275 51.507222222),,male,"28.666666666,77.216666666","51.507222222,-0.1275"
Mundur Krishnankutty,1935-07-17T00:00:00Z,Mundur,Point(76.5833 10.8333),2005-06-04T00:00:00Z,Palakkad,Point(76.654722222 10.779166666),,male,"10.8333,76.5833","10.779166666,76.654722222"
Thilakan,1935-07-15T00:00:00Z,Ayiroor,Point(76.716666666 9.366666666),2012-09-24T00:00:00Z,Thiruvananthapuram,Point(76.9525 8.4875),,male,"9.366666666,76.716666666","8.4875,76.9525"
Mohsin Zaidi,1935-07-10T00:00:00Z,Bahraich,Point(81.595833333 27.574166666),2003-09-03T00:00:00Z,Lucknow,Point(80.947 26.847),,male,"27.574166666,81.595833333","26.847,80.947"
Anshuman Singh,1935-07-07T00:00:00Z,Prayagraj,Point(81.85 25.45),2021-03-08T00:00:00Z,Gujarat,Point(72.655 23.22),,male,"25.45,81.85","23.22,72.655"
Hari Bhakta Katuwal,1935-07-02T00:00:00Z,Dibrugarh district,Point(94.918097222 27.474161111),1980-09-10T00:00:00Z,Dibrugarh district,Point(94.918097222 27.474161111),,male,"27.474161111,94.918097222","27.474161111,94.918097222"
D. G. S. Dhinakaran,1935-07-01T00:00:00Z,Surandai,Point(77.4 8.97),2008-02-20T00:00:00Z,Chennai,Point(80.275 13.0825),,male,"8.97,77.4","13.0825,80.275"
P. P. George,1935-07-01T00:00:00Z,Puthukkad,Point(76.2711 10.4272),2008-01-01T00:00:00Z,Puthukkad,Point(76.2711 10.4272),,male,"10.4272,76.2711","10.4272,76.2711"
Vithabai Bhau Mang Narayangaonkar,1935-07-01T00:00:00Z,Pandharpur,Point(75.33 17.67),2002-01-15T00:00:00Z,Maharashtra,Point(72.82 18.97),,female,"17.67,75.33","18.97,72.82"
Ahmad Ali Madani,1935-06-16T00:00:00Z,Vengara,Point(75.9777 11.0508),2013-06-01T00:00:00Z,Kottakkal,Point(76.001958333 10.999544444),,male,"11.0508,75.9777","10.999544444,76.001958333"
A. K. Roy,1935-06-15T00:00:00Z,Rajshahi District,Point(88.5 24.4),2019-07-21T00:00:00Z,Dhanbad,Point(86.435 23.79278),,male,"24.4,88.5","23.79278,86.435"
Vinod Johri,1935-06-10T00:00:00Z,Etah,Point(78.67 27.63),2014-05-10T00:00:00Z,Dallas,Point(-96.808888888 32.779166666),,male,"27.63,78.67","32.779166666,-96.808888888"
